"","V1","V2"
"306",736107.8125,74.89
"307",736107.822916667,75.03
"308",736107.833333333,75.33
"309",736107.84375,75.64
"310",736107.854166667,76.06
"311",736107.864583333,76.24
"312",736107.875,76.52
"313",736107.885416667,76.61
"314",736107.895833333,76.61
"315",736107.90625,76.86
"316",736107.916666667,77.08
"317",736107.927083333,77.17
"318",736107.9375,77.34
"319",736107.947916667,77.17
"320",736107.958333333,77.4
"321",736107.96875,77.52
"322",736107.979166667,77.35
"323",736107.989583333,77.68
"324",736108,77.61
"325",736108.010416667,77.68
"326",736108.020833333,77.67
"327",736108.03125,77.74
"328",736108.041666667,77.8
"329",736108.052083333,77.87
"330",736108.0625,78.04
"331",736108.072916667,78.04
"332",736108.083333333,78.03
"333",736108.09375,78.26
"334",736108.104166667,78.19
"335",736108.114583333,77.9
"336",736108.125,78.14
"337",736108.135416667,78.26
"338",736108.145833333,78.31
"339",736108.15625,78.6
"340",736108.166666667,78.47
"341",736108.177083333,78.48
"342",736108.1875,78.48
"343",736108.197916667,78.6
"344",736108.208333333,78.65
"345",736108.21875,78.7
"346",736108.229166667,78.77
"347",736108.239583333,78.87
"348",736108.25,78.82
"349",736108.260416667,78.97
"350",736108.270833333,79.07
"351",736108.28125,78.96
"352",736108.291666667,79
"353",736108.302083333,79.06
"354",736108.3125,79.05
"355",736108.322916667,79.15
"356",736108.333333333,79.15
"357",736108.34375,79.12
"358",736108.354166667,78.97
"359",736108.364583333,79.06
"360",736108.375,79.01
"361",736108.385416667,78.84
"362",736108.395833333,78.9
"363",736108.40625,79.14
"364",736108.416666667,78.99
"365",736108.427083333,79.04
"366",736108.4375,79.13
"367",736108.447916667,79.02
"368",736108.458333333,79.11
"369",736108.46875,78.82
"370",736108.479166667,79
"371",736108.489583333,78.93
"372",736108.5,78.61
"373",736108.510416667,78.67
"374",736108.520833333,78.49
"375",736108.53125,78.21
"376",736108.541666667,77.85
"377",736108.552083333,77.72
"378",736108.5625,77.58
"379",736108.572916667,77.25
"380",736108.583333333,76.68
"381",736108.59375,76
"382",736108.604166667,75.22
"383",736108.614583333,74.5
"384",736108.625,73.9
"385",736108.635416667,72.86
"386",736108.645833333,72.17
"387",736108.65625,71.63
"388",736108.666666667,71.21
"389",736108.677083333,70.54
"390",736108.6875,70.15
"391",736108.697916667,69.73
"392",736108.708333333,69.41
"393",736108.71875,69.13
"394",736108.729166667,68.97
"395",736108.739583333,68.74
